dataset,seg,dist,stat,penalty,py_time,r_time
wave_c44137,AMOC,Normal,MeanVar,MBIC,0.012482213973999023,0.1287698745727539
wave_c44137,BinSeg,Normal,MeanVar,MBIC,0.5004089832305908,0.8473245620727539
wave_c44137,PELT,Normal,MeanVar,MBIC,0.9878912448883057,2.090897274017334
wave_c44137,PELT,Empirical,MeanVar,MBIC,2.8664682388305662,8.734375047683717
ftse100,AMOC,Normal,MeanVar,MBIC,0.003123760223388672,0.016071510314941407
ftse100,BinSeg,Normal,MeanVar,MBIC,0.0568446159362793,0.10313272476196289
ftse100,PELT,Normal,MeanVar,MBIC,0.2910143852233887,0.44713535308837893
ftse100,PELT,Empirical,MeanVar,MBIC,0.4066463470458984,10.115881633758544
HC1,AMOC,Normal,MeanVar,MBIC,0.01248326301574707,0.034816932678222653
HC1,BinSeg,Normal,MeanVar,MBIC,0.18522024154663086,0.315625
HC1,PELT,Normal,MeanVar,MBIC,1.4756041049957276,2.2158939361572267
HC1,PELT,Empirical,MeanVar,MBIC,1.7926610469818116,16.173178672790527
